ms_code,ms_name,PCA1,PCA2,year,cluster,gdp_pp,gdp_tot,pop,region_name
AFG,AFGHANISTAN,0.8810639533711614,1.7621529322826375,1946,0,0.010101010101010102,0.26373547486727605,0.787878787878788,Asia
ARG,ARGENTINA,-0.4669489534137872,-0.04922828196079779,1946,1,0.6565656565656566,0.8686868686868687,0.797979797979798,Americas
AUS,AUSTRALIA,-0.3914621115823439,-0.18512783590003704,1946,3,0.9393939393939394,0.9191919191919192,0.6767676767676768,Oceania
BEL,BELGIUM,-0.43859253999821846,-0.49353771049298684,1946,3,0.9090909090909092,0.8684732417796545,0.5279440265329193,Europe
BLR,BELARUS,1.6627857134160855,-1.2371339799617116,1946,2,0.5363853315710505,0.5135808234393354,0.4269662717477014,Europe
BOL,BOLIVIA,-0.40087952925620884,-0.050856689887144764,1946,1,0.3389932224749388,0.4545454545454546,0.5454545454545455,Americas
BRA,BRAZIL,-0.5206884871391924,-0.10984633010584488,1946,1,0.5858585858585859,0.9413823152691533,0.9595959595959597,Americas
CAN,CANADA,-0.5877244950441276,-0.5222634085638007,1946,3,0.8989898989898991,0.9393939393939394,0.7777777777777778,Americas
CHL,CHILE,-0.1211946489535399,-0.01426604259469276,1946,1,0.686868686868687,0.7267057140623167,0.6262626262626263,Americas
CHN,CHINA,-0.3997948129223106,-0.5152788473789894,1946,3,0.6262626262626263,0.98989898989899,0.98989898989899,Asia
COL,COLOMBIA,0.9401581978682245,1.6328021602699425,1946,0,0.5088495167178417,0.7474747474747475,0.8282828282828284,Americas
CRI,COSTA RICA,-0.5108807607810152,0.2979280639561973,1946,1,0.6857384851634779,0.5757575757575758,0.2984380801970379,Americas
CSK,CZECHOSLOVAKIA,1.2537540388611188,1.3613776502388357,1946,0,,,,
CUB,CUBA,-0.6179889032123623,-0.31324035644498543,1946,1,0.5757575757575758,0.595959595959596,0.5050505050505051,Americas
DNK,DENMARK,-0.4344877309586656,-0.339455920932756,1946,3,0.9418707557339205,0.7787706221084769,0.35465133659955655,Europe
DOM,DOMINICAN REPUBLIC,-0.46290793748535014,-0.36507290115949237,1946,3,0.595959595959596,0.6262626262626263,0.5125509173715393,Americas
ECU,ECUADOR,0.6661978859203596,1.2969550956042484,1946,0,0.48484848484848486,0.6241066539593833,0.5858585858585859,Americas
EGY,EGYPT,-0.4501390412929554,0.14190993278671962,1946,1,0.31313131313131315,0.765708918985983,0.9191919191919192,Africa
ETH,ETHIOPIA,-0.29531539314453314,0.03925716665089655,1946,1,0.15151515151515152,0.6464646464646465,0.9393939393939394,Africa
FRA,FRANCE,-0.19047041257270692,-0.4136903881048534,1946,3,0.8585858585858587,0.9595959595959597,0.8686868686868687,Europe
GBR,UNITED KINGDOM,-0.6482081700390545,-0.5273491970200649,1946,3,0.8787878787878789,0.9696969696969697,0.8787878787878789,Europe
GRC,GREECE,-0.5736514699141876,-0.4791779072922225,1946,3,0.7636282164593702,0.6764727141699225,0.4646464646464647,Europe
GTM,GUATEMALA,-0.33966951359822,0.06498802546312077,1946,1,0.4444444444444445,0.5900315796115295,0.5976583607080117,Americas
HND,HONDURAS,-0.6523301529777682,-0.23167785451932957,1946,1,0.3085676434892539,0.4141414141414142,0.494949494949495,Americas
HTI,HAITI,0.8730409194940305,1.813417363815331,1946,0,0.2019592009155964,0.30303030303030304,0.5252525252525253,Americas
IND,INDIA,1.0231957388498907,1.4306951978372175,1946,0,0.27272727272727276,0.9719865976796929,1.0,Asia
IRN,IRAN (ISLAMIC REPUBLIC OF),-0.3692227365580467,-0.39212505501483175,1946,3,0.393939393939394,0.7777777777777778,0.8989898989898991,Asia
IRQ,IRAQ,-0.4155017170559108,0.020765943244163858,1946,1,0.4370139712666617,0.686868686868687,0.7968312089165054,Asia
ISL,ICELAND,-0.4628924424962994,0.3199124015205549,1946,1,0.9494949494949496,0.393939393939394,0.08080808080808081,Europe
LBN,LEBANON,-0.6765426883859132,-0.1354611851938302,1946,1,0.33333333333333337,0.324821693933874,0.3434343434343435,Asia
LBR,LIBERIA,1.1894661272144729,-1.001214231063643,1946,2,0.071978973564154,0.13131313131313133,0.32323232323232326,Africa
LUX,LUXEMBOURG,-0.5386333808101831,-0.08693587396719674,1946,1,0.98989898989899,0.5656565656565657,0.12121212121212122,Europe
MEX,MEXICO,-0.4433492331501234,0.0014331998557617505,1946,1,0.6464646464646465,0.9292929292929294,0.9400934391278268,Americas
NIC,NICARAGUA,-0.7345965698276016,0.12212804066252608,1946,1,0.28492136038295923,0.27272727272727276,0.38383838383838387,Americas
NLD,NETHERLANDS,-0.6471889479939646,-0.13071767880789584,1946,1,0.9292929292929294,0.8989898989898991,0.5839886559839527,Europe
NOR,NORWAY,-0.4148433252264714,-0.35263456789065545,1946,3,0.9718702471753256,0.8096443122070188,0.33333333333333337,Europe
NZL,NEW ZEALAND,-0.5782383559510061,-0.5779013900197889,1946,3,0.8686868686868687,0.6880096083754335,0.31313131313131315,Oceania
PAN,PANAMA,-0.5698471660690694,0.1651402425880037,1946,1,0.7070707070707072,0.5454545454545455,0.27272727272727276,Americas
PER,PERU,-0.6184254828488763,-0.45681875760126583,1946,3,0.5454545454545455,0.698862790057896,0.7277082215597619,Americas
PHL,PHILIPPINES,-0.5624205491509736,-0.3980234541705839,1946,3,0.35950929658727926,0.7976268981528483,0.9195516241915367,Asia
POL,POLAND,1.589249237785498,-0.8557413060359338,1946,2,0.7373737373737375,0.8787878787878789,0.7474747474747475,Europe
